site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
20,4,2,0,-6158.4848022460938,-6158.4848022461001,37926935.059496105,37926935.059496187,8.1956386566162109e-08
21,5,2,0,18387.755386352539,18387.755386352499,338109548.14833683,338109548.14833534,-1.4901161193847656e-06
22,6,2,0,12867.929107666016,12867.929107665999,165583599.51991829,165583599.51991788,-4.1723251342773438e-07
23,7,2,0,-32336.573348999023,-32336.573348999002,1045653975.9551939,1045653975.9551926,-1.3113021850585938e-06
24,0,3,0,19876.871292114258,19876.871292114301,395090012.36327595,395090012.36327767,1.7285346984863281e-06
25,1,3,0,13511.765670776367,13511.7656707764,182567811.54197073,182567811.54197162,8.9406967163085938e-07
26,2,3,0,-6158.4842987060547,-6158.4842987061002,37926928.857409008,37926928.857409567,5.5879354476928711e-07
27,3,3,0,-19780.107559204102,-19780.107559204102,391252655.05368322,391252655.05368322,0
28,4,3,0,-19780.107543945312,-19780.107543945302,391252654.45004225,391252654.45004183,-4.1723251342773438e-07
29,5,3,0,-6158.4843902587891,-6158.4843902588,37926929.985061169,37926929.985061303,1.3411045074462891e-07
30,6,3,0,13511.765655517578,13511.7656555176,182567811.12962437,182567811.12962496,5.9604644775390625e-07
31,7,3,0,19876.871215820312,19876.871215820302,395090009.33030605,395090009.33030564,-4.1723251342773438e-07
32,0,4,0,19876.871337890625,19876.8713378906,395090014.18305784,395090014.18305683,-1.0132789611816406e-06
33,1,4,0,13511.765640258789,13511.7656402588,182567810.717278,182567810.7172783,2.9802322387695312e-07
34,2,4,0,-6158.4844665527344,-6158.4844665526998,37926930.924771316,37926930.924770892,-4.246830940246582e-07
35,3,4,0,-19780.107376098633,-19780.1073760986,391252647.80999154,391252647.80999023,-1.3113021850585938e-06
36,4,4,0,-19780.107437133789,-19780.1074371338,391252650.22455543,391252650.22455585,4.1723251342773438e-07
37,5,4,0,-6158.4844512939453,-6158.4844512938998,37926930.736829288,37926930.73682873,-5.5879354476928711e-07
38,6,4,0,13511.765548706055,13511.7655487061,182567808.24319983,182567808.24320105,1.2218952178955078e-06
39,7,4,0,19876.87109375,19876.87109375,395090004.47755432,395090004.47755432,0
40,0,5,0,-32336.573272705078,-32336.5732727051,1045653971.0210245,1045653971.0210258,1.3113021850585938e-06
41,1,5,0,12867.929382324219,12867.929382324201,165583606.58848295,165583606.58848247,-4.76837158203125e-07
42,2,5,0,18387.755432128906,18387.755432128899,338109549.8317861,338109549.83178586,-2.384185791015625e-07
43,3,5,0,-6158.4842987060547,-6158.4842987061002,37926928.857409008,37926928.857409567,5.5879354476928711e-07
44,4,5,0,-6158.4843292236328,-6158.4843292236001,37926929.233293056,37926929.233292654,-4.0233135223388672e-07
45,5,5,0,18387.755447387695,18387.755447387699,338109550.39293587,338109550.39293599,1.1920928955078125e-07
46,6,5,0,12867.929122924805,12867.929122924799,165583599.91261634,165583599.91261619,-1.4901161193847656e-07
47,7,5,0,-32336.573455810547,-32336.5734558105,1045653982.8630313,1045653982.8630282,-3.0994415283203125e-06
48,0,6,0,-17319.603973388672,-17319.603973388701,299968681.7950207,299968681.79502165,9.5367431640625e-07
49,1,6,0,-15382.15202331543,-15382.152023315401,236610600.86838695,236610600.86838606,-8.9406967163085938e-07
