site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
341,5,2,5,-954741920,0xC717CB60,-14568.20556640625,1227913321,0x49307869,18736.47035217285,15043449,0x00E58B79,229.54481506347656
342,6,2,5,198163042,0x0BCFBA62,3023.728057861328,-1735987654,0x9886EE3A,-26489.069427490234,32407984,0x01EE81B0,494.506591796875
343,7,2,5,-1410259936,0xABF12420,-21518.85888671875,-927100039,0xC8BD9379,-14146.423934936523,-39850312,0xFD9FEEB8,-608.0675048828125
344,0,3,5,-1613571453,0x9FD2DA83,-24621.146438598633,1844877074,0x6DF69712,28150.590118408203,-51091765,0xFCF466CB,-779.5984649658203
345,1,3,5,427729756,0x197EA35C,6526.638122558594,-1348646547,0xAF9D496D,-20578.713180541992,28880224,0x01B8AD60,440.67724609375
346,2,3,5,529939548,0x1F963C5C,8086.235778808594,-1052273996,0xC14792B4,-16056.426940917969,-27490148,0xFE5C889C,-419.46636962890625
347,3,3,5,1630493113,0x612F59B9,24879.350479125977,-1508206868,0xA61A96EC,-23013.41046142578,-7120005,0xFF935B7B,-108.64265441894531
348,4,3,5,209470213,0x0C7C4305,3196.2617950439453,1113900430,0x4264C58E,16996.771697998047,-29724832,0xFE3A6F60,-453.56494140625
349,5,3,5,-1659032453,0x9D1D2C7B,-25314.826248168945,1443271534,0x5606936E,22022.575897216797,-7426370,0xFF8EAEBE,-113.31741333007812
350,6,3,5,1416783223,0x54726577,21618.3963470459,1429427472,0x55335510,21811.332275390625,32332924,0x01ED5C7C,493.36126708984375
351,7,3,5,-1621542264,0x9F593A88,-24742.771362304688,1715409392,0x663F11F0,26175.070068359375,54522749,0x033FF37D,831.9511260986328
352,0,4,5,-394107657,0xE88264F7,-6013.605606079102,1130417485,0x4360CD4D,17248.801956176758,50778731,0x0306D26B,774.8219451904297
353,1,4,5,-1551789228,0xA3819354,-23678.42449951172,1596223011,0x5F246E23,24356.430221557617,49039439,0x02EC484F,748.2824554443359
354,2,4,5,-2082430866,0x83E0A06E,-31775.373321533203,65486895,0x03E7402F,999.2507171630859,73036426,0x045A728A,1114.4474182128906
355,3,4,5,1758305455,0x68CD9CAF,26829.612045288086,-849863131,0xCD581E25,-12967.882247924805,7927638,0x0078F756,120.96615600585938
356,4,4,5,-2086460989,0x83A321C3,-31836.868118286133,1078544490,0x4049486A,16457.28286743164,-17247559,0xFEF8D2B9,-263.17686462402344
357,5,4,5,-1771411358,0x966A6862,-27029.592254638672,1870947296,0x6F8463E0,28548.39013671875,44915981,0x02AD5D0D,685.3634796142578
358,6,4,5,-1976079526,0x8A376B5A,-30152.580657958984,-1332649379,0xB091625D,-20334.615768432617,21656659,0x014A7453,330.4543914794922
359,7,4,5,142922989,0x0884D4ED,2180.831741333008,-1111241838,0xBDC3CB92,-16956.204803466797,67673759,0x04089E9F,1032.619613647461
360,0,5,5,-1743305016,0x981746C8,-26600.723510742188,510072406,0x1E671656,7783.087249755859,18376119,0x011865B7,280.39732360839844
361,1,5,5,478877554,0x1C8B1772,7307.091583251953,967067096,0x39A445D8,14756.272827148438,-31250173,0xFE232903,-476.8397979736328
362,2,5,5,1657506952,0x62CB8C88,25291.548950195312,-1080452907,0xBF9998D5,-16486.40299987793,33334620,0x01FCA55C,508.64593505859375
363,3,5,5,323905219,0x134E66C3,4942.401412963867,2054773725,0x7A795BDD,31353.358840942383,-38980598,0xFDAD340A,-594.7967224121094
364,4,5,5,-96192910,0xFA443672,-1467.7873229980469,144927538,0x08A36B32,2211.418731689453,88159878,0x05413686,1345.2129821777344
365,5,5,5,-863259867,0xCC8BB325,-13172.300216674805,-704328553,0xD604CC97,-10747.200820922852,-3899469,0xFFC47FB3,-59.50117492675781
366,6,5,5,1393250562,0x530B5102,21259.316436767578,-1672422318,0x9C50DC52,-25519.139373779297,41578278,0x027A6F26,634.4341735839844
367,7,5,5,1424377120,0x54E64520,21734.27001953125,-584243197,0xDD2D2803,-8914.843704223633,-42671511,0xFD74E269,-651.1155853271484
368,0,6,5,802194360,0x2FD083B8,12240.514526367188,-1599934549,0xA0A2EFAB,-24413.06379699707,71687459,0x0445DD23,1093.8638153076172
369,1,6,5,2065264665,0x7B197019,31513.437881469727,858659682,0x332E1B62,13102.106964111328,-45385250,0xFD4B79DE,-692.5239562988281
370,2,6,5,1122258102,0x42E44CB6,17124.29965209961,-215223693,0xF32BF273,-3284.052932739258,9709046,0x009425F6,148.14828491210938
371,3,6,5,1045248904,0x3E4D3B88,15949.232543945312,862836640,0x336DD7A0,13165.84228515625,-80780999,0xFB2F6139,-1232.6202239990234
372,4,6,5,-328468034,0xEC6BF9BE,-5012.024444580078,1057674485,0x3F0AD4F5,16138.83186340332,35312921,0x021AD519,538.8324127197266
373,5,6,5,-1387799094,0xAD47DDCA,-21176.13363647461,1424615845,0x54E9E9A5,21737.912673950195,-32953324,0xFE092C14,-502.82781982421875
374,6,6,5,294979982,0x1195098E,4501.037322998047,-1847712534,0x91DE24EA,-28193.85580444336,-20515790,0xFEC6F432,-313.0461120605469
375,7,6,5,-1136123776,0xBC482080,-17335.873046875,1372755575,0x51D29677,20946.5877532959,34561025,0x020F5C01,527.3593902587891
376,0,7,5,-1339442726,0xB029B9DA,-20438.274017333984,-433777576,0xE6251458,-6618.9205322265625,8503324,0x0081C01C,129.75042724609375
377,1,7,5,-874116627,0xCBE609ED,-13337.961227416992,1440872464,0x55E1F810,21985.968994140625,17633979,0x010D12BB,269.0731658935547
378,2,7,5,1427552794,0x5516BA1A,21782.726959228516,1451986931,0x568B8FF3,22155.562301635742,-3631781,0xFFC8955B,-55.41658020019531
379,3,7,5,-347405682,0xEB4B028E,-5300.990020751953,1175565653,0x4611B555,17937.70832824707,39506573,0x025AD28D,602.8224639892578
380,4,7,5,-1324167935,0xB112CD01,-20205.19920349121,1944884229,0x73EC9405,29676.578201293945,36950586,0x0233D23A,563.8211975097656
381,5,7,5,685656026,0x28DE47DA,10462.280670166016,-128991290,0xF84FBFC6,-1968.2508850097656,57574538,0x036E848A,878.5177307128906
382,6,7,5,1218149915,0x489B7E1B,18587.492599487305,-765706354,0xD25C3F8E,-11683.751739501953,-6295054,0xFF9FF1F2,-96.05490112304688
383,7,7,5,-420390364,0xE6F15A24,-6414.647888183594,-1674383567,0x9C32EF31,-25549.065658569336,-52860963,0xFCD967DD,-806.5942840576172
384,0,0,6,1090185088,0x40FAE780,16634.904296875,-1019051683,0xC342815D,-15549.494674682617,-65273455,0xFC1C0191,-995.9938812255859
