site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
502,6,6,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
503,7,6,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
504,0,7,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
505,1,7,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
506,2,7,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
507,3,7,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
508,4,7,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
509,5,7,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
510,6,7,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
511,7,7,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
